club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Elche CF,Alejandro Iturbe,alejandro iturbe,43,Portero,https://img.a.transfermarkt.technology/portrait/medium/618801-1731931020.jpg
Elche CF,Matías Dituro,matias dituro,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/144128-1695219400.png
Elche CF,David Affengruber,david affengruber,22,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/452483-1779272314.jpg
Elche CF,Víctor Chust,victor chust,23,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/495625-1725990797.jpg
Elche CF,John Donald,john donald,18,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/627290-1680535903.jpg
Elche CF,Matia Barzic,matia barzic,26,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1060456-1761232760.jpg
Elche CF,Bambo Diaby,bambo diaby,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/435493-1723551440.jpg
Elche CF,Pedro Bigas,pedro bigas,6,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/203043-1447321397.jpg
Elche CF,Buba Sangaré,buba sangare,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/962125-1739283835.jpg
Elche CF,Marc Aguado,marc aguado,8,Pivote,https://img.a.transfermarkt.technology/portrait/medium/531404-1709050897.jpg
Elche CF,Federico Redondo,federico redondo,5,Pivote,https://img.a.transfermarkt.technology/portrait/medium/909758-1740775355.jpg
Elche CF,Martim Neto,martim neto,16,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/549027-1737124895.jpg
Elche CF,Gonzalo Villar,gonzalo villar,12,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/398163-1611584180.jpg
Elche CF,Javi Morcillo,javi morcillo,47,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1250522-1725605890.jpg
Elche CF,Facundo Buonanotte,facundo buonanotte,10,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/983989-1682588141.jpg
Elche CF,Germán Valera,german valera,11,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/548188-1588605205.jpg
Elche CF,Lucas Cepeda,lucas cepeda,21,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/912392-1707516783.jpg
Elche CF,Tete Morente,tete morente,15,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/339816-1730123532.jpg
Elche CF,Yago Santiago,yago santiago,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/706947-1705304254.jpg
Elche CF,Rafa Núñez,rafa nunez,-,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/589456-1629022489.jpg
