clave,slug,seccion_album,equipo,nombre,apodo,dorsal,posicion,minutos,partidos,titularidades,sustituido,goles,asistencias,amarillas,rojas,partidos_equipo,minutos_por_partido_equipo,cromo_id,cromos,consultado_en
athletic-club-84217,unai-simon,ATHLETIC CLUB DE BILBAO,Athletic Club,Unai Simón,Unai Simon,1,Portero,450,5,5,0,0,0,0,0,5,90.0,ATHLETIC-CLUB-DE-BILBAO-03,ATHLETIC CLUB DE BILBAO 3,2026-09-17
athletic-club-84235,o-sancet-1,ATHLETIC CLUB DE BILBAO,Athletic Club,Oihan Sancet,O. Sancet,8,Centrocampista,425,5,5,1,1,0,0,0,5,85.0,ATHLETIC-CLUB-DE-BILBAO-16,ATHLETIC CLUB DE BILBAO 14,2026-09-17
athletic-club-84226,laporte,ATHLETIC CLUB DE BILBAO,Athletic Club,Aymeric Laporte,Laporte,14,Defensa,392,5,4,0,0,0,0,0,5,78.4,ATHLETIC-CLUB-DE-BILBAO-09,ATHLETIC CLUB DE BILBAO 8,2026-09-17
athletic-club-84243,benat-gerenabarrena,ATHLETIC CLUB DE BILBAO,Athletic Club,Beñat Gerenabarrena,Gerenabarrena,24,Centrocampista,373,5,4,1,0,0,2,0,5,74.6,,,2026-09-17
athletic-club-84249,williams,ATHLETIC CLUB DE BILBAO,Athletic Club,Iñaki Williams,Williams,9,Delantero,330,5,5,5,0,2,0,0,5,66.0,,,2026-09-17
athletic-club-84223,yeray-2,ATHLETIC CLUB DE BILBAO,Athletic Club,Yeray Álvarez,Yeray,5,Defensa,315,4,4,1,0,1,0,0,5,63.0,ATHLETIC-CLUB-DE-BILBAO-07,ATHLETIC CLUB DE BILBAO 6B,2026-09-17
athletic-club-84224,areso,ATHLETIC CLUB DE BILBAO,Athletic Club,Jesús Areso,Areso,12,Defensa,299,4,4,3,0,0,0,0,5,59.8,ATHLETIC-CLUB-DE-BILBAO-05,ATHLETIC CLUB DE BILBAO 5,2026-09-17
athletic-club-84227,yuri-b,ATHLETIC CLUB DE BILBAO,Athletic Club,Yuri Berchiche,Yuri,17,Defensa,281,4,4,0,0,0,2,0,5,56.2,ATHLETIC-CLUB-DE-BILBAO-10,ATHLETIC CLUB DE BILBAO 9A,2026-09-17
athletic-club-84250,williams-jr,ATHLETIC CLUB DE BILBAO,Athletic Club,Nico Williams,Williams Jr,10,Delantero,274,5,3,2,1,0,0,0,5,54.8,ATHLETIC-CLUB-DE-BILBAO-21,ATHLETIC CLUB DE BILBAO 18,2026-09-17
athletic-club-84248,berenguer,ATHLETIC CLUB DE BILBAO,Athletic Club,Alex Berenguer,Berenguer,7,Delantero,252,5,2,0,1,0,1,0,5,50.4,ATHLETIC-CLUB-DE-BILBAO-18,ATHLETIC CLUB DE BILBAO 16,2026-09-17
athletic-club-84240,navarro-2,ATHLETIC CLUB DE BILBAO,Athletic Club,Robert Navarro,Navarro,23,Centrocampista,242,4,3,3,2,0,1,0,5,48.4,ATHLETIC-CLUB-DE-BILBAO-19,ATHLETIC CLUB DE BILBAO 17A,2026-09-17
