clave,squad_id,team_slug,seccion_album,equipo,dorsal,posicion,posicion_slug,rol,rol_slug,nombre,apodo,nombre_pila,apellidos,fecha_nacimiento,lugar_nacimiento,pais,altura_cm,peso_kg,internacional,activo,cedido,cedido_fuera,foto_url,foto_grande_url,foto_cuadrada_url,person_id,opta_id,temporada
d-alaves-84216,84216,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,,Entrenador,entrenador,Entrenador,entrenador,Enrique Sánchez Flores,Sanchez Flores,Enrique,Sánchez Flores,1965-02-02,,ES,,,false,true,false,false,https://assets.laliga.com/assets/useful/default-player/512x556/manager_001.png,https://assets.laliga.com/assets/useful/default-player/1024x1113/manager_001.png,https://assets.laliga.com/assets/useful/default-player/512x512/manager_002.jpeg,1724,man261,2026
d-alaves-84179,84179,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,1,Portero,portero,Jugador,jugador,Antonio Sivera,Sivera,Antonio,Sivera,1996-08-11,Jávea,ES,184,75,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p176245/512x556/p176245_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p176245/1024x1113/p176245_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p176245/512x512/p176245_t173_2026_0_002_000.jpg,1290,p176245,2026
d-alaves-84181,84181,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,13,Portero,portero,Jugador,jugador,Adrián Rodríguez,A. Rodriguez,Adrián,Rodríguez,2000-12-12,Palma de Mallorca,AR,195,82,false,true,false,false,https://assets.laliga.com/assets/useful/default-player/512x556/male_1_001.png,https://assets.laliga.com/assets/useful/default-player/1024x1113/male_1_001.png,https://assets.laliga.com/assets/useful/default-player/512x512/male_1_002.jpeg,12600,p466131,2026
d-alaves-84182,84182,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,31,Portero,portero,Jugador,jugador,Grégoire Swiderski,Swiderski,Grégoire,Swiderski,2005-10-05,,CA,187,72,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p573143/512x556/p573143_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p573143/1024x1113/p573143_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p573143/512x512/p573143_t173_2026_0_002_000.jpg,39982,p573143,2026
d-alaves-86395,86395,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,2,Defensa,defensa,Jugador,jugador,Nicolás Valentini,Valentini,Nicolás,Valentini,2001-04-06,Junín,AR,184,79,false,true,false,false,https://assets.laliga.com/squad/2026/t173/default/512x556/default_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/default/1024x1113/default_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/default/512x512/default_t173_2026_0_002_000.jpg,39841,p536665,2026
d-alaves-84186,84186,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,3,Defensa,defensa,Jugador,jugador,Youssef Enriquez,Youssef,Youssef,Enriquez,2005-10-07,Madrid,MA,175,68,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p554656/512x556/p554656_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p554656/1024x1113/p554656_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p554656/512x512/p554656_t173_2026_0_002_000.jpg,39685,p554656,2026
d-alaves-84185,84185,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,5,Defensa,defensa,Jugador,jugador,Facundo Garcés,F. Garcés,Facundo,Garcés,1999-09-05,Santa Fé,MY,191,82,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p422507/512x556/p422507_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p422507/1024x1113/p422507_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p422507/512x512/p422507_t173_2026_0_002_000.jpg,39842,p422507,2026
d-alaves-84187,84187,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,7,Defensa,defensa,Jugador,jugador,Ángel Pérez,Ángel P.,Ángel,Pérez,2002-06-08,,ES,183,,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p633295/512x556/p633295_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p633295/1024x1113/p633295_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p633295/512x512/p633295_t173_2026_0_002_000.jpg,34740,p633295,2026
d-alaves-84209,84209,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,12,Defensa,defensa,Jugador,jugador,Hugo Novoa,Novoa,Hugo,Novoa,2003-01-24,Bertamiráns,ES,182,69,false,true,false,false,https://assets.laliga.com/squad/2026/t173/default/512x556/default_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/default/1024x1113/default_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/default/512x512/default_t173_2026_0_002_000.jpg,14762,p493055,2026
d-alaves-84189,84189,d-alaves,DEPORTIVO ALAVÉS,Deportivo Alavés,14,Defensa,defensa,Jugador,jugador,Nahuel Tenaglia,N. Tenaglia,Nahuel,Tenaglia,1996-02-21,Saladillo,AR,180,73,false,true,false,false,https://assets.laliga.com/squad/2026/t173/p432855/512x556/p432855_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p432855/1024x1113/p432855_t173_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t173/p432855/512x512/p432855_t173_2026_0_002_000.jpg,25476,p432855,2026
